idx,p_old,sigma_now,sample_vol,omega_old,alpha_old,beta_old,gamma_old,vol_inf_current_impl,ratio_inf_to_sigma,ratio_inf_to_sample,omega_sigma_anchor,omega_ratio_old_to_sigma_anchor
897,1.0,0.01767606331274961,0.0163832765784555,2.399700876232674e-06,0.037248881465735455,0.9799439115293288,-0.03438558588945517,0.010953768475352836,0.6196950238038561,0.6685944916389539,6.2488642847266594e-06,0.3840219225272617
898,1.0,0.017760035979692307,0.016376318902170627,2.3935519686814135e-06,0.03657420276761882,0.9805052803974423,-0.03415892261604581,0.010939725701957548,0.6159742983891793,0.6680210471785283,6.308377559999312e-06,0.3794243362760416
900,1.0,0.01744026367885901,0.01637533223900404,2.4709245690268793e-06,0.038568082952647506,0.979225452264104,-0.03558705628832194,0.011115135107201525,0.6373260927628766,0.6787731048733552,6.083255943762582e-06,0.4061845485163948
901,1.0,0.01743392561670886,0.01637768451456666,2.4701707287668636e-06,0.038034912165669336,0.9796793602864551,-0.035428505351070755,0.011113439451328457,0.6374605292956634,0.6785720802866808,6.07883524817872e-06,0.4063559264099075
902,1.0,0.0176817001012059,0.016384955979026727,2.4356565177036836e-06,0.03715498120322818,0.9802177840475074,-0.03474548007656512,0.01103552562795191,0.6241212985621944,0.6735157324851979,6.252850369379735e-06,0.38952739531895975
903,1.0,0.01773795492617579,0.01636146540232527,2.502866829303385e-06,0.03705355105825671,0.9806641485398429,-0.0354352905323957,0.011186748475994612,0.6306673188962949,0.6837253388321053,6.292700899260954e-06,0.3977412671238409
904,1.0,0.01808112057092389,0.0164999011787597,2.414131652203715e-06,0.03276897315010055,0.9836156032788359,-0.0327689804031937,0.01098665475065932,0.6076312973835745,0.6658618516335374,6.5385384220057835e-06,0.3692157935600458
905,1.0,0.018613196079155254,0.016527557704419847,2.4183152600674828e-06,0.03266551161492826,0.9836675211593244,-0.032665535568640026,0.010996170378971612,0.5907728222605532,0.6653233693463968,6.929021365621693e-06,0.3490125275216992
906,1.0,0.018590296019376115,0.01653123941119133,2.4279995819109487e-06,0.032876196761794756,0.9835619401775842,-0.032876201781231754,0.01101816586803572,0.5926837236239709,0.6665057346260822,6.911982121760635e-06,0.35127399624877553
908,1.0,0.01840937347492939,0.016535458602270795,2.4935028526706727e-06,0.033923670897964685,0.9830382294684684,-0.033923683853375984,0.011165802373028678,0.6065281031011026,0.6752641484945142,6.77810063478872e-06,0.36787633985142176
909,1.0,0.018467536936680174,0.016533751217388686,2.5772124609846495e-06,0.03511308188073021,0.9824434736090032,-0.03511306966363102,0.011351679305249551,0.6146829078599472,0.6865761529852278,6.8209984101530135e-06,0.3778350772151603
910,1.0,0.018371023300012963,0.016542866767235154,2.592203331841479e-06,0.035374342906886194,0.9823128465728151,-0.035374348118807,0.011384646089891181,0.6197066926523983,0.6881906413246126,6.749889941792352e-06,0.384036384918174
911,1.0,0.01826577477103174,0.01654309893833431,2.60744932508815e-06,0.03572018852601606,0.982140030311638,-0.035720223544732845,0.011418076293947631,0.6251076911369734,0.6902017775816611,6.672770559721124e-06,0.3907596255185977
912,1.0,0.018168915025968374,0.01654476378181783,2.644210631506321e-06,0.03628756102457328,0.9818562719188849,-0.03628758014641432,0.011498283853485058,0.6328547322198849,0.6949802369569825,6.60218946441723e-06,0.4005051120931022
913,1.0,0.01807041623658755,0.016544995615358105,2.6842067554587112e-06,0.03689918655209621,0.9815504515964166,-0.03689920205806602,0.011584918548394491,0.6410985998727724,0.7002068068026952,6.530798859270582e-06,0.411007414758829
